id,name,aliases,semantic_category,resolution_status,name_status,palette_status,proven_effective_palette_banks,legal_palette_candidates,round_phase_presence,actor_records,actor_classes,spawn_controller_callers,renderer_compositor_families,animation_state_values,composer_tables,representative_codes,composite_dimensions_pixels,palette_derivation,observed_sprite_controls,observed_actor_palette_attributes,static_proof,dynamic_proof,merge_split_rationale,feasibility_treatment,physical_pattern_count,representative_piece_count,unresolved_blockers,representative_png
collision_marker41_route,Marker 0x41 hostile-route candidate,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""original arcade map semantics; conservatively retained until the marker route is classified""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/collision_marker41_route.png
collision_marker49_special_route,Marker 0x49 special-route candidate,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""original arcade map and spawn switch; conservatively retained until the special route is classified""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/collision_marker49_special_route.png
collision_marker4f_behavior20_route,Marker 0x4F behavior-0x20 candidate,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""original arcade map and spawn switch; conservatively retained as a legal graphics-bearing candidate""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/collision_marker4f_behavior20_route.png
four_armed_enemy,Four-armed enemy,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63]",[],[],[],[],[],[],[],[],,,[],[],"[""legal graphics-bearing Stage-1 enemy; retained as a conservative feasibility blocker""]",[],Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,0,0,"[""exact family/route merge"",""composer pieces"",""palette bank""]",sprites/four_armed_enemy.png
hostile_base004b_compositor0,Stage-1 Lizardman,[],ENEMY / HOSTILE,resolved,resolved,proven,[54],[],"[""round1_phase1"",""round2_phase1"",""round4_phase1"",""round5_phase1"",""round6_phase1""]","[""normal_variant_a_00"",""normal_variant_b_00""]","[""0x17"",""0x18"",""0x19"",""0x1A"",""0x1B"",""0x1C"",""0x1D"",""0x1E"",""0x1F""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]","[79,80,81,82,83,84,99,100,101,102]","{""width"":48,""height"":48}",sprite_ctrl 0x0060 supplies 0x30 and actor_attr low nibble 0x06 selects proven arcade bank 0x36,[0],[70],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2806 at round1_phase1""]",Family-0 classes observed with base 0x004B share the established Lizardman producer/composer vocabulary; animation/class variants remain one family.,included conservatively; never zero-cost,10,10,[],sprites/hostile_base004b_compositor0.png
hostile_base00d0_compositor0,HOSTILE_BASE_00D0_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round5_phase1"",""round6_castle"",""round6_phase1""]","[""normal_variant_a_01"",""normal_variant_b_01""]","[""0x25"",""0x27"",""0x28"",""0x29"",""0x4E"",""0x4F"",""0x50"",""0x51"",""0x52"",""0x53"",""0x54"",""0x55"",""0x56""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00"",""0x01"",""0x02"",""0x03"",""0x04"",""0x05""]","[""arcade_rom/data 0x03D09E""]","[422,423,424,425,426,427,428,429,430,431]","{""width"":64,""height"":48}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[68],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3250 at round5_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,10,10,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base00d0_compositor0.png
hostile_base0179_compositor0,HOSTILE_BASE_0179_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round1_phase1""]",[],"[""0x70"",""0x71"",""0x72"",""0x73""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]","[377,378,379,380]","{""width"":32,""height"":32}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[0],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3430 at round1_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,4,4,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base0179_compositor0.png
hostile_base01cb_compositor0,HOSTILE_BASE_01CB_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round5_castle"",""round6_castle""]","[""normal_variant_a_05"",""normal_variant_b_05""]","[""0xD0"",""0xD1"",""0xD2"",""0xD3"",""0xD4"",""0xD5"",""0xD6"",""0xD7"",""0xD8"",""0xD9""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]",[0],"{""width"":16,""height"":16}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[70],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3288 at round6_castle""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,1,19,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base01cb_compositor0.png
hostile_base0275_compositor0,HOSTILE_BASE_0275_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round3_castle""]",[],"[""0x9E"",""0xA0""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00""]","[""arcade_rom/data 0x03D09E""]","[662,663,664,665,666,667,668,669,670]","{""width"":59,""height"":48}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[64],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3132 at round3_castle""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,9,9,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base0275_compositor0.png
hostile_base02e8_compositor0,HOSTILE_BASE_02E8_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round3_phase1"",""round4_phase1"",""round6_phase1""]","[""normal_variant_a_03"",""normal_variant_b_03""]","[""0x5F"",""0x60"",""0x61"",""0x62"",""0x63"",""0x64"",""0x65"",""0x66"",""0x67"",""0x68"",""0x69"",""0x6A"",""0x6B"",""0x6C"",""0x6D"",""0x6E"",""0x6F"",""0xB3"",""0xB4""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00"",""0x01"",""0x02"",""0x03""]","[""arcade_rom/data 0x03D09E""]","[744,747,756,757,758,761,762,763,764,765]","{""width"":48,""height"":67}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[74],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2802 at round3_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,10,10,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base02e8_compositor0.png
hostile_base033e_multi_compositor,HOSTILE_BASE_033E_MULTI_COMPOSITOR_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round1_castle"",""round3_castle"",""round4_castle"",""round5_castle"",""round6_castle""]","[""normal_variant_a_02"",""normal_variant_b_02""]","[""0x20"",""0x21"",""0x22"",""0x23"",""0x93"",""0x94"",""0x95"",""0x96"",""0x97"",""0x98"",""0x99"",""0x9A"",""0x9B"",""0x9C"",""0xA1"",""0xA2"",""0xA3"",""0xA4"",""0xA5"",""0xA6""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00"",""0x03"",""0x04""]","[""0x00""]","[""arcade_rom/data 0x03D09E"",""arcade_rom/data 0x040004"",""arcade_rom/data 0x04002C""]","[619,620,830,831,832,833,854,867,868,869]","{""width"":48,""height"":72}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],"[64,65,66,68]","[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2654 at round1_castle""]","Compositor forms [0, 3, 4] share the same actor-record base 0x033E; they remain forms of one unresolved semantic candidate rather than independent enemies.",included conservatively; never zero-cost,10,10,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base033e_multi_compositor.png
hostile_base03b3_compositor0,HOSTILE_BASE_03B3_COMPOSITOR0_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round4_phase1"",""round5_phase1"",""round6_phase1""]","[""normal_variant_a_06""]","[""0xDD"",""0xDE"",""0xDF"",""0xE0"",""0xE1"",""0xE2"",""0xE3"",""0xE4"",""0xE5"",""0xE6"",""0xE7"",""0xE8"",""0xE9"",""0xEA"",""0xEB"",""0xEC"",""0xED"",""0xEE""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x00""]","[""0x00"",""0x01"",""0x02""]","[""arcade_rom/data 0x03D09E""]","[982,984,986,987,988,1002,1003,1004,1005]","{""width"":48,""height"":56}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[72],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 3100 at round4_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,9,9,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base03b3_compositor0.png
hostile_base0400_compositor1,HOSTILE_BASE_0400_COMPOSITOR1_UNRESOLVED,[],ENEMY / HOSTILE,unresolved,provisional,unknown,[],"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[""round2_phase1"",""round5_phase1""]","[""normal_variant_a_11""]","[""0xB5"",""0xB6"",""0xB7"",""0xB8"",""0xB9""]","[""arcade_pc 0x0559B2 map/collision publication"",""arcade_pc 0x041180 spawn/class selection"",""arcade_pc 0x04543E actor record loader""]","[""0x01""]","[""0x00""]","[""arcade_rom/data 0x04771C""]","[1024,1025,1026,1027]","{""width"":32,""height"":32}",effective_bank = ((sprite_ctrl & 0x00E0) >> 1) | (actor_attr & 0x0F); exact object-to-bank relationship remains unknown unless palette_status is proven,[0],[78],"[""arcade_pc 0x03D054 renderer/compositor dispatch"",""PC090OJ record ownership from arcade_pc 0x041DAE or boss arcade_pc 0x041F30""]","[""original arcade MAME actor/PC090OJ sweep"",""sample frame 2780 at round2_phase1""]",Not merged with another candidate without arcade semantic proof.,included conservatively; never zero-cost,4,4,"[""semantic family name"",""exact object-to-palette-bank relationship""]",sprites/hostile_base0400_compositor1.png
