sample,seconds,command,chip,address,value,note
5585,0.1266439909297052,0x54,YM2151,0x8F,0x1F,
5586,0.12666666666666668,0x54,YM2151,0xAF,0x00,
5588,0.12671201814058958,0x54,YM2151,0xCF,0x00,
5589,0.126734693877551,0x54,YM2151,0xEF,0xF0,
5592,0.12680272108843538,0x54,YM2151,0x57,0x70,
5596,0.12689342403628118,0x54,YM2151,0x77,0x11,
5597,0.12691609977324264,0x54,YM2151,0x97,0x9F,
5599,0.12696145124716554,0x54,YM2151,0xB7,0x00,
5600,0.12698412698412698,0x54,YM2151,0xD7,0x80,
5602,0.12702947845804988,0x54,YM2151,0xF7,0xF0,
5605,0.12709750566893424,0x54,YM2151,0x5F,0x78,
5608,0.1271655328798186,0x54,YM2151,0x7F,0x09,
5610,0.1272108843537415,0x54,YM2151,0x9F,0xDF,
5613,0.12727891156462584,0x54,YM2151,0xDF,0x40,
5614,0.1273015873015873,0x54,YM2151,0xFF,0xF1,
5619,0.12741496598639457,0x54,YM2151,0x08,0x7F,
6279,0.14238095238095239,0x54,YM2151,0x08,0x06,
7009,0.15893424036281179,0x54,YM2151,0x08,0x07,
53295,1.2085034013605442,0x54,YM2151,0x1B,0x00,
53333,1.2093650793650794,0x54,YM2151,0x1B,0x40,
