arcade_code,physical_hash,rom_offset,palette_bank
0x04C0,5c1e564d06d2,pc080sn+0x9800,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C1,2c88eb28025d,pc080sn+0x9820,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C2,95218eeaafc2,pc080sn+0x9840,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C3,2652fcbfa2c3,pc080sn+0x9860,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C4,3d9494de606b,pc080sn+0x9880,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C5,ae0069cee619,pc080sn+0x98A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C6,e789e80f9cd9,pc080sn+0x98C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C7,c7e6308154e7,pc080sn+0x98E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C8,66fff5521441,pc080sn+0x9900,"0x002 (PROVEN, all 854 BG single vocab)"
0x04C9,4ffd81db68a2,pc080sn+0x9920,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CA,f3ded4ecbc0d,pc080sn+0x9940,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CB,8e6100c523fd,pc080sn+0x9960,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CC,9a86afe0a6b0,pc080sn+0x9980,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CD,76c52c5665ca,pc080sn+0x99A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CE,d73ce16bbaf7,pc080sn+0x99C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04CF,a7a9bd1e72e7,pc080sn+0x99E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D0,4ac124734dad,pc080sn+0x9A00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D1,a69b2f29917d,pc080sn+0x9A20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D2,31e9e0d30534,pc080sn+0x9A40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D3,4d8a2ccbb5c9,pc080sn+0x9A60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D4,df3313abaf9f,pc080sn+0x9A80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D5,0c9310a7a285,pc080sn+0x9AA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D6,deeac92f24b7,pc080sn+0x9AC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D7,0ac82dcda981,pc080sn+0x9AE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D8,f2b3c7bacb2d,pc080sn+0x9B00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04D9,a9ef8fc6d2ad,pc080sn+0x9B20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DA,eef52c6c0a90,pc080sn+0x9B40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DB,6452e33503c0,pc080sn+0x9B60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DC,74f423485d52,pc080sn+0x9B80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DD,476427e4891b,pc080sn+0x9BA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DE,94ce1e52e3c1,pc080sn+0x9BC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04DF,4ab568de0fb0,pc080sn+0x9BE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E0,dccfbcf7b94d,pc080sn+0x9C00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E1,1b44ae1a0141,pc080sn+0x9C20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E2,8466ac95be4c,pc080sn+0x9C40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E3,558469e71693,pc080sn+0x9C60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E4,ca32d6318dc0,pc080sn+0x9C80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E5,35123db3aff8,pc080sn+0x9CA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E6,2dbdedda5c8d,pc080sn+0x9CC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E7,35a6d44f0de5,pc080sn+0x9CE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E8,a01868ca7667,pc080sn+0x9D00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04E9,47f5ce5158ad,pc080sn+0x9D20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04EA,aa9788c53c72,pc080sn+0x9D40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04EB,3f7d1ab70da0,pc080sn+0x9D60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04EC,f88638ae7189,pc080sn+0x9D80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04ED,7e3065e62d7b,pc080sn+0x9DA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04EE,f28e815ddb1f,pc080sn+0x9DC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04EF,5f7ae4104ae4,pc080sn+0x9DE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F0,0c39198befd8,pc080sn+0x9E00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F1,916a934840b5,pc080sn+0x9E20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F2,e20b7d413578,pc080sn+0x9E40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F3,9a950a375efa,pc080sn+0x9E60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F4,a09d888c9724,pc080sn+0x9E80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F5,5a67b2e60a5e,pc080sn+0x9EA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F6,577c566af506,pc080sn+0x9EC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F7,af0ac8142272,pc080sn+0x9EE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F8,846393d0b78c,pc080sn+0x9F00,"0x002 (PROVEN, all 854 BG single vocab)"
0x04F9,1747f1f1929a,pc080sn+0x9F20,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FA,9a236a6e79fc,pc080sn+0x9F40,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FB,96acbbcdf2ba,pc080sn+0x9F60,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FC,25b15bea4c16,pc080sn+0x9F80,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FD,7198c6da3605,pc080sn+0x9FA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FE,a1f9be24daa1,pc080sn+0x9FC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x04FF,a116cd483c1f,pc080sn+0x9FE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0500,06e1f9a4b807,pc080sn+0xA000,"0x002 (PROVEN, all 854 BG single vocab)"
0x0501,b3302296a9ae,pc080sn+0xA020,"0x002 (PROVEN, all 854 BG single vocab)"
0x0502,c6ecaaa4e429,pc080sn+0xA040,"0x002 (PROVEN, all 854 BG single vocab)"
0x0503,6ca9c49f7527,pc080sn+0xA060,"0x002 (PROVEN, all 854 BG single vocab)"
0x0504,97fe81fc8c79,pc080sn+0xA080,"0x002 (PROVEN, all 854 BG single vocab)"
0x0505,c5271514886d,pc080sn+0xA0A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0506,993da30dfe92,pc080sn+0xA0C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0507,6a292d8ba129,pc080sn+0xA0E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0508,e128c61655fd,pc080sn+0xA100,"0x002 (PROVEN, all 854 BG single vocab)"
0x0509,b618ed1799f8,pc080sn+0xA120,"0x002 (PROVEN, all 854 BG single vocab)"
0x050A,1ea1b7f082f3,pc080sn+0xA140,"0x002 (PROVEN, all 854 BG single vocab)"
0x050B,b3c935e98b12,pc080sn+0xA160,"0x002 (PROVEN, all 854 BG single vocab)"
0x050C,b4667a8f882b,pc080sn+0xA180,"0x002 (PROVEN, all 854 BG single vocab)"
0x050D,712742110030,pc080sn+0xA1A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x050E,65e6d8cf76c6,pc080sn+0xA1C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x050F,0de0ce2558c5,pc080sn+0xA1E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0510,ba2a29d850f8,pc080sn+0xA200,"0x002 (PROVEN, all 854 BG single vocab)"
0x0511,36e8032507c6,pc080sn+0xA220,"0x002 (PROVEN, all 854 BG single vocab)"
0x0512,1d9607f4d971,pc080sn+0xA240,"0x002 (PROVEN, all 854 BG single vocab)"
0x0513,2b767080814c,pc080sn+0xA260,"0x002 (PROVEN, all 854 BG single vocab)"
0x0514,998cfaa15ced,pc080sn+0xA280,"0x002 (PROVEN, all 854 BG single vocab)"
0x0515,fe51fa7459fd,pc080sn+0xA2A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0516,d1d9fca8856f,pc080sn+0xA2C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0517,12ac80579524,pc080sn+0xA2E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0518,de282d543a7a,pc080sn+0xA300,"0x002 (PROVEN, all 854 BG single vocab)"
0x0519,c85948312318,pc080sn+0xA320,"0x002 (PROVEN, all 854 BG single vocab)"
0x051A,5d0e2ac1cd5f,pc080sn+0xA340,"0x002 (PROVEN, all 854 BG single vocab)"
0x051B,dcf050055305,pc080sn+0xA360,"0x002 (PROVEN, all 854 BG single vocab)"
0x051C,9e5175008751,pc080sn+0xA380,"0x002 (PROVEN, all 854 BG single vocab)"
0x051D,812cb7e4e866,pc080sn+0xA3A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x051E,2ff0e807920e,pc080sn+0xA3C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x051F,1eb4f06961f7,pc080sn+0xA3E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0520,2b26dcfcbbf1,pc080sn+0xA400,"0x002 (PROVEN, all 854 BG single vocab)"
0x0521,47e3ce7e82af,pc080sn+0xA420,"0x002 (PROVEN, all 854 BG single vocab)"
0x0522,26e3c0d46c85,pc080sn+0xA440,"0x002 (PROVEN, all 854 BG single vocab)"
0x0523,e7711ac90d40,pc080sn+0xA460,"0x002 (PROVEN, all 854 BG single vocab)"
0x0524,3105dfeaa059,pc080sn+0xA480,"0x002 (PROVEN, all 854 BG single vocab)"
0x0525,463f3e69a00d,pc080sn+0xA4A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0526,cabb8c87a314,pc080sn+0xA4C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0527,0b97259075f9,pc080sn+0xA4E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0528,881842964de0,pc080sn+0xA500,"0x002 (PROVEN, all 854 BG single vocab)"
0x0529,5ce056898422,pc080sn+0xA520,"0x002 (PROVEN, all 854 BG single vocab)"
0x052A,ce4bf930c5a3,pc080sn+0xA540,"0x002 (PROVEN, all 854 BG single vocab)"
0x052B,2de085add239,pc080sn+0xA560,"0x002 (PROVEN, all 854 BG single vocab)"
0x052C,f1e3dc5795c7,pc080sn+0xA580,"0x002 (PROVEN, all 854 BG single vocab)"
0x052D,e0fcff6b6616,pc080sn+0xA5A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x052E,45e4acbf7192,pc080sn+0xA5C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x052F,4cf15e130ef2,pc080sn+0xA5E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0530,2a0b7fd2220e,pc080sn+0xA600,"0x002 (PROVEN, all 854 BG single vocab)"
0x0531,af5368b19db5,pc080sn+0xA620,"0x002 (PROVEN, all 854 BG single vocab)"
0x0532,19d072afbbb1,pc080sn+0xA640,"0x002 (PROVEN, all 854 BG single vocab)"
0x0533,260a2aaca985,pc080sn+0xA660,"0x002 (PROVEN, all 854 BG single vocab)"
0x0534,e8f5609a488e,pc080sn+0xA680,"0x002 (PROVEN, all 854 BG single vocab)"
0x0535,a493f6ce9cb7,pc080sn+0xA6A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0536,0ec92517c4d2,pc080sn+0xA6C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0537,88ca2f225d93,pc080sn+0xA6E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0538,585a4c0f13bb,pc080sn+0xA700,"0x002 (PROVEN, all 854 BG single vocab)"
0x0539,cbde8630566d,pc080sn+0xA720,"0x002 (PROVEN, all 854 BG single vocab)"
0x053A,a66b9a7cf21e,pc080sn+0xA740,"0x002 (PROVEN, all 854 BG single vocab)"
0x053B,083d46758691,pc080sn+0xA760,"0x002 (PROVEN, all 854 BG single vocab)"
0x053C,c3017e20879f,pc080sn+0xA780,"0x002 (PROVEN, all 854 BG single vocab)"
0x053D,fb9f347ed571,pc080sn+0xA7A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x053E,1987c9454273,pc080sn+0xA7C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x053F,beb9f861ebcf,pc080sn+0xA7E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0540,1d9b29390034,pc080sn+0xA800,"0x002 (PROVEN, all 854 BG single vocab)"
0x0541,5de3a3fd93eb,pc080sn+0xA820,"0x002 (PROVEN, all 854 BG single vocab)"
0x0542,9d37927dee8c,pc080sn+0xA840,"0x002 (PROVEN, all 854 BG single vocab)"
0x0543,65d682bfd219,pc080sn+0xA860,"0x002 (PROVEN, all 854 BG single vocab)"
0x0544,8cae450b44a8,pc080sn+0xA880,"0x002 (PROVEN, all 854 BG single vocab)"
0x0545,39d43d30547d,pc080sn+0xA8A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0546,d0de18218921,pc080sn+0xA8C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0547,33a52e192cf1,pc080sn+0xA8E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0548,ee4140ef174f,pc080sn+0xA900,"0x002 (PROVEN, all 854 BG single vocab)"
0x0549,9887ced8b9a7,pc080sn+0xA920,"0x002 (PROVEN, all 854 BG single vocab)"
0x054A,d6cb4c8a7a6c,pc080sn+0xA940,"0x002 (PROVEN, all 854 BG single vocab)"
0x054B,1763d882a6f1,pc080sn+0xA960,"0x002 (PROVEN, all 854 BG single vocab)"
0x054C,67cd627b5002,pc080sn+0xA980,"0x002 (PROVEN, all 854 BG single vocab)"
0x054D,8d0c71f5edc2,pc080sn+0xA9A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x054E,b34a2979c309,pc080sn+0xA9C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x054F,7ac4d24dff6a,pc080sn+0xA9E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0550,464f145fde29,pc080sn+0xAA00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0551,0a6e18b43d50,pc080sn+0xAA20,"0x002 (PROVEN, all 854 BG single vocab)"
0x0552,06a3ae9d777e,pc080sn+0xAA40,"0x002 (PROVEN, all 854 BG single vocab)"
0x0553,f5021c95fb64,pc080sn+0xAA60,"0x002 (PROVEN, all 854 BG single vocab)"
0x0554,87c36605c663,pc080sn+0xAA80,"0x002 (PROVEN, all 854 BG single vocab)"
0x0555,6a4d4e194684,pc080sn+0xAAA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0556,3945be9e7fa8,pc080sn+0xAAC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0557,fbcf29741291,pc080sn+0xAAE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0558,d6c727efe1a6,pc080sn+0xAB00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0559,fb5b03870926,pc080sn+0xAB20,"0x002 (PROVEN, all 854 BG single vocab)"
0x055A,8970cf4d0cc1,pc080sn+0xAB40,"0x002 (PROVEN, all 854 BG single vocab)"
0x055B,eaf2b2f9e60f,pc080sn+0xAB60,"0x002 (PROVEN, all 854 BG single vocab)"
0x055C,d0d9833c036d,pc080sn+0xAB80,"0x002 (PROVEN, all 854 BG single vocab)"
0x055D,4bc6f0c91c3a,pc080sn+0xABA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x055E,13d589ce23f0,pc080sn+0xABC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x055F,09e10c3d4989,pc080sn+0xABE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0560,bc019e7c30ff,pc080sn+0xAC00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0561,47c4c72b7dff,pc080sn+0xAC20,"0x002 (PROVEN, all 854 BG single vocab)"
0x0562,b9bf059ff6bf,pc080sn+0xAC40,"0x002 (PROVEN, all 854 BG single vocab)"
0x0563,b34404311a07,pc080sn+0xAC60,"0x002 (PROVEN, all 854 BG single vocab)"
0x0564,b98afb8ff7af,pc080sn+0xAC80,"0x002 (PROVEN, all 854 BG single vocab)"
0x0565,9a9062829855,pc080sn+0xACA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0566,ff008ef42880,pc080sn+0xACC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0567,97d61d0a1be8,pc080sn+0xACE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0568,d4b2baf2e86f,pc080sn+0xAD00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0569,6729c3c7e7bb,pc080sn+0xAD20,"0x002 (PROVEN, all 854 BG single vocab)"
0x056A,f72ccc06af02,pc080sn+0xAD40,"0x002 (PROVEN, all 854 BG single vocab)"
0x056B,c8803feb6d5e,pc080sn+0xAD60,"0x002 (PROVEN, all 854 BG single vocab)"
0x056C,3c3e52cbb4b3,pc080sn+0xAD80,"0x002 (PROVEN, all 854 BG single vocab)"
0x056D,b2713d18e9b9,pc080sn+0xADA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x056E,686b19ad61e6,pc080sn+0xADC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x056F,4cc39ca4cfca,pc080sn+0xADE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0570,972ac9fe2ebb,pc080sn+0xAE00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0571,bb3649429b33,pc080sn+0xAE20,"0x002 (PROVEN, all 854 BG single vocab)"
0x0572,b1831affe83c,pc080sn+0xAE40,"0x002 (PROVEN, all 854 BG single vocab)"
0x0573,39566e468c71,pc080sn+0xAE60,"0x002 (PROVEN, all 854 BG single vocab)"
0x0574,ede6959b9543,pc080sn+0xAE80,"0x002 (PROVEN, all 854 BG single vocab)"
0x0575,d0d6c8507175,pc080sn+0xAEA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0576,a8f4a16708db,pc080sn+0xAEC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0577,8138aee8704c,pc080sn+0xAEE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0578,43875a06978b,pc080sn+0xAF00,"0x002 (PROVEN, all 854 BG single vocab)"
0x0579,81c7de7a4e2f,pc080sn+0xAF20,"0x002 (PROVEN, all 854 BG single vocab)"
0x057A,979998f2f21a,pc080sn+0xAF40,"0x002 (PROVEN, all 854 BG single vocab)"
0x057B,e251e7f920cc,pc080sn+0xAF60,"0x002 (PROVEN, all 854 BG single vocab)"
0x057C,017f807a733f,pc080sn+0xAF80,"0x002 (PROVEN, all 854 BG single vocab)"
0x057D,f34d89260481,pc080sn+0xAFA0,"0x002 (PROVEN, all 854 BG single vocab)"
0x057E,78bbc1e2645a,pc080sn+0xAFC0,"0x002 (PROVEN, all 854 BG single vocab)"
0x057F,821e5632bbb9,pc080sn+0xAFE0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0580,b503b09f0a9b,pc080sn+0xB000,"0x002 (PROVEN, all 854 BG single vocab)"
0x0581,0fa69421dafc,pc080sn+0xB020,"0x002 (PROVEN, all 854 BG single vocab)"
0x0582,7e03b46d95ac,pc080sn+0xB040,"0x002 (PROVEN, all 854 BG single vocab)"
0x0583,6b49737daf25,pc080sn+0xB060,"0x002 (PROVEN, all 854 BG single vocab)"
0x0584,b171cc0452d4,pc080sn+0xB080,"0x002 (PROVEN, all 854 BG single vocab)"
0x0585,cf62c37a202b,pc080sn+0xB0A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0586,cec2601c1dfd,pc080sn+0xB0C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0587,48dfb1a846e5,pc080sn+0xB0E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0588,e4c35df91cc0,pc080sn+0xB100,"0x002 (PROVEN, all 854 BG single vocab)"
0x0589,fa3df5418b97,pc080sn+0xB120,"0x002 (PROVEN, all 854 BG single vocab)"
0x058A,0fb713f89d5d,pc080sn+0xB140,"0x002 (PROVEN, all 854 BG single vocab)"
0x058B,457bf1cfd784,pc080sn+0xB160,"0x002 (PROVEN, all 854 BG single vocab)"
0x058C,d9d189df2cab,pc080sn+0xB180,"0x002 (PROVEN, all 854 BG single vocab)"
0x058D,58683ca499c9,pc080sn+0xB1A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x058E,a6d760289341,pc080sn+0xB1C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x058F,e13a1c116225,pc080sn+0xB1E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0590,067bec62318b,pc080sn+0xB200,"0x002 (PROVEN, all 854 BG single vocab)"
0x0591,71f13d71e26e,pc080sn+0xB220,"0x002 (PROVEN, all 854 BG single vocab)"
0x0592,8b7f609cfe29,pc080sn+0xB240,"0x002 (PROVEN, all 854 BG single vocab)"
0x0593,648f05358f6e,pc080sn+0xB260,"0x002 (PROVEN, all 854 BG single vocab)"
0x0594,141c8480a59d,pc080sn+0xB280,"0x002 (PROVEN, all 854 BG single vocab)"
0x0595,3eb0802a8950,pc080sn+0xB2A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0596,3fb51695e5a0,pc080sn+0xB2C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0597,9953443dc579,pc080sn+0xB2E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x0598,c1c817a8da3b,pc080sn+0xB300,"0x002 (PROVEN, all 854 BG single vocab)"
0x0599,1c504089740f,pc080sn+0xB320,"0x002 (PROVEN, all 854 BG single vocab)"
0x059A,44aeebbdb681,pc080sn+0xB340,"0x002 (PROVEN, all 854 BG single vocab)"
0x059B,2fb8a241c8c4,pc080sn+0xB360,"0x002 (PROVEN, all 854 BG single vocab)"
0x059C,94111d885937,pc080sn+0xB380,"0x002 (PROVEN, all 854 BG single vocab)"
0x059D,d7e0e2166e89,pc080sn+0xB3A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x059E,fc767260cfe4,pc080sn+0xB3C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x059F,1191786de12f,pc080sn+0xB3E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A0,35063cf89a7e,pc080sn+0xB400,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A1,a742994260ee,pc080sn+0xB420,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A2,d460af762332,pc080sn+0xB440,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A3,98af527422a3,pc080sn+0xB460,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A4,acb9e2b7aacd,pc080sn+0xB480,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A5,edf2161ee74f,pc080sn+0xB4A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A6,00ac2c835b02,pc080sn+0xB4C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A7,36779edd5eaf,pc080sn+0xB4E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A8,850bfec3f2e9,pc080sn+0xB500,"0x002 (PROVEN, all 854 BG single vocab)"
0x05A9,bae07d094141,pc080sn+0xB520,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AA,dc124d24ba37,pc080sn+0xB540,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AB,8bf6aa6af73e,pc080sn+0xB560,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AC,026f68bcdcc6,pc080sn+0xB580,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AD,fea42a3bda26,pc080sn+0xB5A0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AE,98082a644256,pc080sn+0xB5C0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05AF,161f5561fa34,pc080sn+0xB5E0,"0x002 (PROVEN, all 854 BG single vocab)"
0x05B0,96e1c7a35b23,pc080sn+0xB600,"0x002 (PROVEN, all 854 BG single vocab)"
0x05B1,b1ab0bce9155,pc080sn+0xB620,"0x002 (PROVEN, all 854 BG single vocab)"
0x05B2,60d01bab82ff,pc080sn+0xB640,"0x002 (PROVEN, all 854 BG single vocab)"
0x05B3,e184abe4620b,pc080sn+0xB660,"0x002 (PROVEN, all 854 BG single vocab)"
0x05B4,84334ac4f6b6,pc080sn+0xB680,"0x002 (PROVEN, all 854 BG single vocab)"
