source_document,source_section,claim_text_short,arcade_pc_or_range,claim_level,raw_c_status,semantic_c_status,coverage_status,notes
Andy_scene_phase_state_machine.md,scene machine,scene/phase state machine decoded,0x3A7D2;0x3A614;0x55DFE;0x138A;0x1394;0x13B8;0x1242;0x13E,PARTIAL,raw/0003a7d2.c,rastan_actor_subsystems.c,PARTIAL,0x3A7D2 wipe trigger COMPLETE; 0x55DFE sequencer + 0x469E8 REFERENCED_ONLY
Andy_round_phase_progression_decompilation.md,progression,round/phase progression decoded,0x502AC;0x5073A;0x507C5;0x13E,PARTIAL,,rastan_actor_subsystems.c,TABLE_DATA,round boundary table 0x502AC {16
Andy_fable_build0228_stage1_cave_map_collision_authority.md,collision,collision producer + grid decoded (PARTIAL),0x559B2;0x55A14;0x53A2E;0x53FA6;0x54038;0x10DE00,PARTIAL,raw/00053a2e.c,rastan_actor_subsystems.c,PARTIAL,0x53A2E addr calc COMPLETE; 0x559B2/0x55A14 remain PARTIAL (historically PARTIAL); 0x53FA6 REFERENCED_ONLY
Andy_build0159_floor_collision_map_origin.md,collision,floor/collision dispatch 0x53FA6 type-8/0x7E,0x53FA6;0x53C2E;0x10DE00,PARTIAL,,rastan_actor_subsystems.c,REFERENCED_ONLY,mechanism proven in Markdown; not lifted to C
Andy_per_round_boss_actor_map.md,boss,per-round boss bodies mapped,0x4449E;0x444E0,COMPLETE,raw/0004449e.c,rastan_actor_subsystems.c,COMPLETE,rectype table + trigger lifted
Andy_complete_arcade_actor_spawn_topology.md,topology,complete spawn topology decoded,0x450D8;0x4580C;0x4449E;0x423B2;0x42380,PARTIAL,raw/0004449e.c;raw/000423b2.c;raw/00042380.c,rastan_actor_subsystems.c,PARTIAL,0x450D8/0x4580C spawn dispatcher REFERENCED_ONLY; boss-body per-round update NOT closed (do not fabricate)
Andy_rastan_sound_command_execution_verified.md,sound,sound queue behavior verified,0x3A0EC;a5+0x292..0x297,PARTIAL,,,REFERENCED_ONLY,sound trigger 0x3A0EC extern STUB; queue behavior is Markdown-only
Andy_pc080sn_arcade_fg_complete_decompile_part1.md,fg producer,FG producer complete decompile,0x55968;0x559B2,COMPLETE,,,PARTIAL,DOWNGRADED - arcade FG producer 0x559B2 stays PARTIAL per recovery rule; title 'complete decompile' overstated vs preserved C
Andy_pc080sn_arcade_fg_complete_decompile_part2.md,fg producer,FG producer part2 decode,0x55990;0x55A14,COMPLETE,,,PARTIAL,DOWNGRADED - 0x55A14 PARTIAL
Andy_master_dispatch_selector_audit.md,vblank dispatch,master VBlank state dispatch decoded,0x3A256;0x3A208,PARTIAL,,,REFERENCED_ONLY,master dispatch structure in Markdown; not lifted (Genesis-side VBlank context)
Andy_dispatcher_map_analysis.md,dispatch,dispatcher map,0x4AB5C;0x4AF1A,PARTIAL,raw/0004ab5c.c,rastan_actor_subsystems.c,PARTIAL,0x4AF1A boss-subphase dispatcher REFERENCED_ONLY
Andy_pc080sn_plane_b_static_decoder.md,plane b,plane B static decoder,0x3951C;0x507C5,PARTIAL,,,REFERENCED_ONLY,scene descriptor decode is Markdown/tooling; not arcade-function C
Andy_actor_decompilation_c_recovery.md,REFERENCED_ONLY,0x4103A marker consume/advance was STUB,0x4103A,STUB,raw/0004103a.c,rastan_actor_materialization.c,PARTIAL,"H6: consume+re-arm control flow lifted; 0x4092E callee still H7 (PARTIAL, honest)"
Andy_actor_decompilation_c_recovery.md,REFERENCED_ONLY,0x41BEE post-materialization setup was STUB,0x41BEE,STUB,raw/00041bee.c,rastan_actor_materialization.c,COMPLETE,H6: proven = torch/light-source register (A5+0x1282 + 0xD00460); upgraded STUB->COMPLETE
Andy_h6_marker_materialization_decompilation.md,H6,states 0x1E/0x20 assign visible base +0x1E via retarget chain,0x40E88;0x40EDE,COMPLETE,raw/00040e88.c;raw/00040ede.c,rastan_actor_materialization.c,COMPLETE,H6: bases 0x0F4/0xDAB/0x9EA + retarget chars 'O'/'I'/'a'/'q' proven
Andy_h7_actor_lifecycle_damage_drop_decompilation.md,H7,0x4092E was STUB (generic step/retire),0x4092E,STUB,raw/0004092e.c,rastan_actor_lifecycle.c,COMPLETE,H7: proven = RETIRE/CLEAR primitive (zero record + companion). STUB->COMPLETE
Andy_h7_actor_lifecycle_damage_drop_decompilation.md,H7,0x4103A PARTIAL pending 0x4092E,0x4103A,PARTIAL,raw/0004103a.c,rastan_actor_lifecycle.c,COMPLETE,H7: 0x4092E now decompiled; retarget end-to-end proven. PARTIAL->COMPLETE
Andy_h7_actor_lifecycle_damage_drop_decompilation.md,H7,0x447F0/0x41F9C/0x43F4E were STUB,0x447F0;0x41F9C;0x43F4E,STUB,raw/000447f0.c;raw/00041f9c.c;raw/00043f4e.c,rastan_actor_lifecycle.c,COMPLETE,"H7: child activate=state0x0F, phase-advance leaf, component-pool driver. STUB->COMPLETE"
Andy_h7_actor_lifecycle_damage_drop_decompilation.md,H7,score award + no death-drop item system,0x3B726,COMPLETE,raw/0003b726.c,rastan_actor_lifecycle.c,COMPLETE,H7: score value=+0x2C; NO death-triggered drop reached - pickups are marker/schedule placed (H6/A-C)
Andy_h8_enemy_damage_item_drop_decompilation.md,H8,0x42E38 PARTIAL pending anim core,0x42E38,PARTIAL,raw/00042e38.c,rastan_anim_motion_core.c,COMPLETE,H8: anim core 0x3CEB0 family lifted; move+contact now COMPLETE. PARTIAL->COMPLETE
Andy_h8_enemy_damage_item_drop_decompilation.md,H8,state 0x0F polymorphism (0x40CCC) resolved,0x40CCC,COMPLETE,raw/00040ccc.c,rastan_actor_behavior.c,COMPLETE,H8: 0x40CCC branches +0x03 mode -> 0x40E0E; +0x39 component -> 0x40DD8; else armored-man anim
Andy_h8_enemy_damage_item_drop_decompilation.md,H8,enemy-hurtbox scan + conditional item drop NOT isolated,enemy_drop_system,PARTIAL,raw/000449b4.c,rastan_actor_collision.c,PARTIAL,"H9 PROGRESS: enemy-hurtbox scan FOUND = collision manager 0x449B4 (overlap 0x44CBA, hurtbox tbl 0x44CE0, one-hit model). Per-kill item-drop CREATOR still NOT found; items via scripted 0x450D8/0x45248 + H6 markers. Remaining: enemy-death->flag->item link."
Andy_h9_enemy_hit_drop_system_decompilation.md,H9,enemy collision manager + one-hit damage model,0x449B4;0x44CBA;0x446BC,PARTIAL,raw/000449b4.c;raw/00044cba.c;raw/000446bc.c,rastan_actor_collision.c,PARTIAL,H9: enemy-hurtbox scan (the H8 gap) FOUND; overlap+hurtbox format COMPLETE; manager pass-ladder + index selector PARTIAL
Andy_h9_enemy_hit_drop_system_decompilation.md,H9,ordinary enemy fatal path end-to-end,0x447CE;0x448D8,COMPLETE,raw/000447ce.c,rastan_actor_collision.c,COMPLETE,H9: one-hit -> +0x3D flash + state 0x0F death anim -> 0x44804 -> score(+0x2C) -> retire 0x4092E
Andy_h9_enemy_hit_drop_system_decompilation.md,H9,per-kill item-drop creator (category A),enemy_kill_drop_creator,PARTIAL,,,NOT_STARTED,"DOWNGRADED/OPEN: no per-kill drop creator located; items appear via scripted 0x450D8->0x45248 (bases 0x0F4/0x224/0x548, camera-gated) and H6 markers. Item TABLE not fabricated."
Andy_h10_materialized_actor_render_palette_decompilation.md,H10,render dispatch: all 5 compositor selectors share 0x3C902,0x3D054;0x3F0BC,COMPLETE,raw/0003d054.c;raw/0003f0bc.c,rastan_actor_render.c,COMPLETE,H10: selectors pick program table only; VM renders all; materialized actors are general programs
Andy_h10_materialized_actor_render_palette_decompilation.md,H10,"palette resolver 0x45684 (fam-2 line, round-specific)",0x45684,COMPLETE,raw/00045684.c,rastan_actor_palette.c,COMPLETE,H10: fam-2 tbl 0x456EC round/variant/comp; transforms retain +0x27; palette round-specific
Andy_h11_phase2_marker_map_decompilation.md,H11,0x559B2 collision-grid column writer (was PARTIAL),0x559B2,PARTIAL,raw/000559b2.c,rastan_scene_map.c,COMPLETE,H11: fully lifted; marker = column_record[20+subcol*2+row*8]. PARTIAL->COMPLETE
Andy_h11_phase2_marker_map_decompilation.md,H11,six Phase-2 starts proven from section stream,0x503BC;0x50EE0;0x50F6B,COMPLETE,raw/000503bc.c,rastan_scene_map.c,COMPLETE,H11: R1 0x11/R2 0x2B/R3 0x41/R4 0x5A/R5 0x6E/R6 0x85. Per-scene MARKER enumeration OPEN (0x10D000 populator)
