arcade_pc,raw_file,semantic_file,status,provenance,original_export_present,confidence,notes
00040e88,raw/00040e88.c,rastan_actor_materialization.c,COMPLETE,RECONSTRUCTED_FROM_68000,YES,STATIC,H6: state 0x1E marker-chain transform; retarget base 0x0F4 -> 'O' (0x40E9C)
00040ede,raw/00040ede.c,rastan_actor_materialization.c,COMPLETE,RECONSTRUCTED_FROM_68000,YES,STATIC,H6: state 0x20 torch; 0x40F52 light+retarget 0x40F82/0x40FAC/0x40FCC; anim tbl 0x40FE0
00045418,raw/00045418.c,rastan_actor_materialization.c,COMPLETE,RECONSTRUCTED_FROM_68000,YES,STATIC,"H6: +0x29 attr loader, table 0x4542E[state-0x13]"
00041336,raw/00041180.c,rastan_actor_materialization.c,COMPLETE,RECONSTRUCTED_FROM_68000,YES,STATIC,H6: floor-marker X placement (neighbour-cell facing)
00041362,raw/00041180.c,rastan_actor_materialization.c,COMPLETE,RECONSTRUCTED_FROM_68000,YES,STATIC,H6: char-hunter materialization dispatch (28 marker routes)
0003b726,raw/0003b726.c,rastan_actor_lifecycle.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H7: score award (3-byte BCD @A5+0x11C), value=dying actor +0x2C; extra life at 999999"
000448b2,raw/000447f0.c,rastan_actor_lifecycle.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H7: component init -> state 0x0F, +0x08=0xff, sfx 0x10"
00042e38,raw/00042e38.c,rastan_anim_motion_core.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H8: move+contact stepper; anim core now lifted; solid cell -> 0x447F0 impact. COMPLETE
0003cf40,raw/0003cf40.c,rastan_anim_motion_core.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H8: frame-index wrap (0->56, 57->1)"
0003cf52,raw/0003cf52.c,rastan_anim_motion_core.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H8: frame->velocity applier + axis-lock flags +0x13; table 0x3CFD4 (56 dir pairs) + 0x3CFB0 band test
000449b4,raw/000449b4.c,rastan_actor_collision.c,PARTIAL,RECONSTRUCTED_FROM_68000,NO,STATIC,"H9: ENEMY COLLISION MANAGER (player boxes vs enemy hurtboxes, A5+0x2C8 x29). pass ladder partial"
00044cba,raw/00044cba.c,rastan_actor_collision.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H9: per-axis AABB overlap; hurtbox rect table 0x44CE0 {xl,xr,yt,yb} signed bytes (var 0x44FA8)"
000446bc,raw/000446bc.c,rastan_actor_collision.c,PARTIAL,RECONSTRUCTED_FROM_68000,NO,STATIC,H9: hurtbox-index selector by rec_type/family/state; 0x446B0 base + 0x44796 table not fully enumerated
000447ce,raw/000447ce.c,rastan_actor_collision.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H9: enemy hit reaction (one-hit -> +0x3D flash + state 0x0F death anim); rec_type 10/11/18 freeze
000448d8,raw/000447ce.c,rastan_actor_collision.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H9: family-12 kill -> score(+0x2C 0x3B726) + recycle 0x40A1E
0003d054,raw/0003d054.c,rastan_actor_render.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H10: render selector dispatch; +0x38 picks program table, all selectors -> shared 0x3C902"
0003f0bc,raw/0003f0bc.c,rastan_actor_render.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H10: selector-2 thunk (also 0x4770E/0x3FFDC/0x3FFF0) -> table 0x3F0CE -> 0x3C902
000503bc,raw/000503bc.c,rastan_scene_map.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H11: 0x13E -> scene idx (0x50EE0) -> section kind (0x50F6B); 0=outdoor !=0=castle/phase2
000559b2,raw/000559b2.c,rastan_scene_map.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,H11: collision-grid column writer; grid marker = column_record[20+subcol*2+row*8]
000563a6,raw/000563a6.c,rastan_scene_map.c,COMPLETE,RECONSTRUCTED_FROM_68000,NO,STATIC,"H11: background tilemap decompressor (per-round 0x562CA ptr0; metatile stream, 0xFF=col, 0=end)"
