round	13E	scene_index	section_kind	phase	source_rom_addr
4	0x4a	83	0	phase1	0x050fbe
4	0x4b	84	0	phase1	0x050fbf
4	0x4c	85	0	phase1	0x050fc0
4	0x4d	86	0	phase1	0x050fc1
4	0x4e	87	0	phase1	0x050fc2
4	0x4f	88	0	phase1	0x050fc3
4	0x50	89	0	phase1	0x050fc4
4	0x51	90	0	phase1	0x050fc5
4	0x52	91	0	phase1	0x050fc6
4	0x53	92	0	phase1	0x050fc7
4	0x54	93	0	phase1	0x050fc8
4	0x55	95	0	phase1	0x050fca
4	0x56	96	0	phase1	0x050fcb
4	0x57	97	0	phase1	0x050fcc
4	0x58	98	0	phase1	0x050fcd
4	0x59	99	0	phase1	0x050fce
4	0x5a	100	1	phase2	0x050fcf
4	0x5b	102	0	phase1	0x050fd1
5	0x5c	104	0	phase1	0x050fd3
5	0x5d	105	0	phase1	0x050fd4
5	0x5e	106	0	phase1	0x050fd5
5	0x5f	107	0	phase1	0x050fd6
5	0x60	108	0	phase1	0x050fd7
5	0x61	109	0	phase1	0x050fd8
5	0x62	110	0	phase1	0x050fd9
5	0x63	111	0	phase1	0x050fda
5	0x64	112	0	phase1	0x050fdb
5	0x65	113	0	phase1	0x050fdc
5	0x66	114	0	phase1	0x050fdd
5	0x67	115	0	phase1	0x050fde
5	0x68	116	0	phase1	0x050fdf
5	0x69	117	0	phase1	0x050fe0
5	0x6a	118	0	phase1	0x050fe1
5	0x6b	119	0	phase1	0x050fe2
5	0x6c	121	0	phase1	0x050fe4
5	0x6d	122	0	phase1	0x050fe5
5	0x6e	123	2	phase2	0x050fe6
5	0x6f	124	0	phase1	0x050fe7
5	0x70	125	2	phase2	0x050fe8
5	0x71	126	0	phase1	0x050fe9
5	0x72	128	0	phase1	0x050feb
6	0x73	130	0	phase1	0x050fed
6	0x74	131	0	phase1	0x050fee
6	0x75	132	0	phase1	0x050fef
6	0x76	133	0	phase1	0x050ff0
6	0x77	134	0	phase1	0x050ff1
6	0x78	135	0	phase1	0x050ff2
6	0x79	136	0	phase1	0x050ff3
6	0x7a	137	0	phase1	0x050ff4
6	0x7b	138	0	phase1	0x050ff5
6	0x7c	139	0	phase1	0x050ff6
6	0x7d	140	0	phase1	0x050ff7
6	0x7e	141	0	phase1	0x050ff8
6	0x7f	142	0	phase1	0x050ff9
6	0x80	143	0	phase1	0x050ffa
6	0x81	144	0	phase1	0x050ffb
6	0x82	145	0	phase1	0x050ffc
6	0x83	147	0	phase1	0x050ffe
6	0x84	148	0	phase1	0x050fff
6	0x85	149	2	phase2	0x051000
6	0x86	150	0	phase1	0x051001
6	0x87	151	0	phase1	0x051002
6	0x88	152	0	phase1	0x051003
6	0x89	154	0	phase1	0x051005
