arcade_tile_code,records_used,exact_hash,flip_normalized_hash,dup_group_id,dup_group_size
0x009F,11,5531cff5c634,5531cff5c634,46,1
0x00A5,3;10;11,d9e82f9948c4,d7df55971714,47,1
0x00A7,3;10;11,c1ce49401d64,4a5462cfbec6,48,1
0x00AD,1;2;4;6;7;8;9;10;11;12;13;14;15,de8a847bff8c,de8a847bff8c,0,2
0x00AE,1;7;8,f12f7698a75f,f12f7698a75f,49,1
0x00AF,1;7;8,36e53120b681,1f6d873ea04d,50,1
0x00B0,1;7;8,4c9166973d0b,4c9166973d0b,51,1
0x00B1,1;7;8,acbd736bfadd,acbd736bfadd,52,1
0x00B2,1;7;8,e5f0937d2a64,e5f0937d2a64,53,1
0x00B3,1;7;8,b6fabf10e01a,b6fabf10e01a,54,1
0x00B4,1;7;8,ecc6b55a18b2,245fd3994d60,55,1
0x00B5,1;7;8,5454b90223d4,4075d7549e35,56,1
0x00B6,7,53ca8704b0d4,53ca8704b0d4,57,1
0x00B7,7,60dc7629acd1,60dc7629acd1,58,1
0x00B8,7,6cace2ed34db,6cace2ed34db,59,1
0x00B9,7,133f19d73ee2,c353826fe8c6,60,1
0x00BA,7,184ce902cd83,184ce902cd83,61,1
0x00BB,7,8a79dbb12d57,8a79dbb12d57,62,1
0x00BC,7,bb865b86a8c6,bb865b86a8c6,63,1
0x00BD,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,5b20a81123f0,5b20a81123f0,64,1
0x00BE,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,92271e3df8ed,92271e3df8ed,65,1
0x00BF,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,b326688b4561,b326688b4561,66,1
0x00C0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,8bade15a854f,0b314a1bd8c6,67,1
0x00C1,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,3b60a461f1fd,4128d8898ab3,68,1
0x00C2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,b11e932b43c6,14fb7b666343,69,1
0x00C3,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,9cb4b884c0b7,925dc9c33c85,70,1
0x00C4,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,1bc7a0cbf7c9,a6f36a5ef36e,71,1
0x00C5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,082e5364243e,5265e7305491,72,1
0x00C6,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,aa33fe51eafd,1af7dc58114e,73,1
0x00C7,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,b021826ae510,b021826ae510,74,1
0x00C8,9;12,07931e92d12b,34dcd5372fa5,75,1
0x00C9,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,dcd46cf8e2e2,dcd46cf8e2e2,76,1
0x00CA,9;12,f58f156cd09f,5f34c1c333a5,77,1
0x00CB,9;12,8ff4f33af09a,3e5a80e7f176,78,1
0x00CC,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,ebc132e379e3,b3edde1dbd81,79,1
0x00CD,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,1b7f9021e921,1b7f9021e921,80,1
0x00CE,9,82938b752b9f,504ddd68887a,81,1
0x00CF,9,51a628d9bb79,0c60777904e7,82,1
0x00D0,9,19b215049216,c73a15248f06,83,1
0x00D1,9,49f40fbd927c,98decda5e1bb,84,1
0x00D2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,4e9167a404e9,e9a857eeb506,85,1
0x00D3,9,07ea74226ae2,fdb79b8389fc,86,1
0x00D4,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,e304ebd49fc4,e304ebd49fc4,87,1
0x00D5,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,cff862f10a89,f9adfd1d6c76,88,1
0x00D6,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,d47fbf19a403,f6282b13e587,89,1
0x00D7,9,00a2829c7df9,d7639c6f5c05,90,1
0x00D8,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,5f562882bd6d,3551e8b0802d,91,1
0x00D9,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,ece6dca60550,ece6dca60550,92,1
0x00DA,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,7757bcf15198,7757bcf15198,93,1
0x00DB,9,4b7fc883176d,17f16c634793,94,1
0x00DC,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,f8d6c9c98787,f8d6c9c98787,95,1
0x00DD,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,331c41fb5770,47cbe96888a3,96,1
0x00DE,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,700ef183c306,700ef183c306,97,1
0x00DF,9,483845d54f75,ff45d0439540,98,1
0x00E0,9,c8d60ac658f0,62e9378fd3fc,99,1
0x00E1,9,4dd013fe84d7,0535480e224c,100,1
0x00E2,9,7c6e4dd28a21,1e5260986617,101,1
0x00E3,9,e9a351261253,3c1ce6e6eb00,102,1
0x00E4,9,22bf2773ccc0,7c54eb491294,103,1
0x00E5,9,9658dbfd0756,28efcb43e96d,104,1
0x00E6,9,de704a0c7c27,8c878b3df44e,105,1
0x00E7,9,7b1c87c4938d,ccf8879bdb56,106,1
0x00E8,9,ab312e579d6e,81ab8ee5a1ba,107,1
0x00E9,9,0801f6b7fa2d,911f95ff2b6c,108,1
0x00EA,9,4330de990523,b616ed6716f8,109,1
0x00EB,9,b82e6d9d7e27,d7f6c4eb30cd,110,1
0x00EC,9,f4a2db45c892,af8d6b13a9a9,111,1
0x00ED,9,8ef323e65673,a4a0a44a7f01,112,1
0x00EE,9,5777cf01f166,afbe5e9e925f,113,1
0x00EF,9,1e8a3604df16,b47ae90916ea,114,1
0x00F0,9,390e43d2d7f0,495e958a6750,115,1
0x00F1,9,c3bd81d514bd,0ff7108dbe7c,116,1
0x00F2,9,173f2d01efa4,f68c541c315f,117,1
0x00F3,9;10,db01a422add2,3c8a04421c66,118,1
0x00F4,9;10,edc5628ad1c8,edc5628ad1c8,119,1
0x00F5,9;10,0a5478510366,2940432a1fb5,120,1
0x00F6,9;10,a541335e742a,e693f8a7b397,121,1
0x00F7,9;10,428f09e9417e,34daed59f6e8,122,1
0x00F8,9;10,d8efe8234727,5b79762e18e4,123,1
0x00F9,9;10,9216433e5b32,710e580e4376,124,1
0x00FA,9;10,569d5c8fe1cb,569d5c8fe1cb,125,1
0x00FB,10,b9278b138b7b,b9278b138b7b,126,1
0x00FC,10,f8838455e59f,f8838455e59f,127,1
0x00FD,10,fab85259c1bd,2309ceb56ac3,128,1
0x00FE,10,217e93375787,afbb576407a0,129,1
0x00FF,10,0ea2a326c35f,f28beff4d5f7,130,1
0x0100,10,eec7ec1b5474,eec7ec1b5474,131,1
0x0101,10,902d77c299b4,902d77c299b4,132,1
0x0102,10,e7ad4ab00029,1be2f37411ae,133,1
0x0103,2;4;6;10;11;12;14,c355848b6bdf,894fbe40e59b,134,1
0x0104,2;4;6;10;11;12;13;14,39b9f9bd3cf3,0d33c3359e2d,135,1
0x0105,2;4;6;10;11;12;14,36903b701c66,36903b701c66,136,1
0x0106,2;4;6;10;11;12;13;14,0d37681dba67,0d37681dba67,137,1
0x0107,2;4;6;10;11;12;13;14,e06e5755179c,e06e5755179c,138,1
0x0108,10;12,45f581e02732,617960ad1232,139,1
0x0109,10;12,f740fbc85ffd,2d6231243039,140,1
0x010A,10;12,37ba7558b3d6,b682cb73ec4d,141,1
0x010B,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,2992c66397d9,cc05006aebf7,142,1
0x010C,10;12,c6c29cbffd57,c6c29cbffd57,143,1
0x010D,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,c03589a78bfa,8cc75498ab98,144,1
0x010E,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,f2d74cf8f819,576cff0a1494,145,1
0x010F,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,47ade75a6c03,47ade75a6c03,146,1
0x0110,2;4;6;10;11;12;13;14,53b90a35e18f,66548d20be45,147,1
0x0111,10;12,f819ce3dcf6f,cfae8145c18d,148,1
0x0112,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,a9a3ee926156,c691e0aa7051,149,1
0x0113,2;4;6;10;11;12;13;14,47ffe2e34061,47ffe2e34061,150,1
0x0114,2;4;6;10;11;12;13;14,d2a663651c18,9d65d1e6280b,151,1
0x0115,10;12,ee2ad70b0bd8,ee2ad70b0bd8,152,1
0x0116,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,0093b646e942,2be30f0b92f3,153,1
0x0117,2;4;6;10;11;12;13;14,f5fc062f908b,dda8702a72c5,154,1
0x0118,2;4;6;10;11;12;13;14,9d74d742d44c,733c0146430c,155,1
0x0119,10;12,bab4bf39cd59,ea5f80ac4bcb,156,1
0x011A,10;12,3e1127f3705a,125091b7e48d,157,1
0x011B,2;4;6;10;11;12;13;14,ce451bf9a57a,ce451bf9a57a,158,1
0x011C,2;4;6;10;11;12;13;14,e09c4c4220de,e09c4c4220de,159,1
0x011D,10;12,e6dc76bbae7c,e6dc76bbae7c,160,1
0x011E,10;12,a32f373c7ee5,a32f373c7ee5,161,1
0x011F,10;12,830bf6126012,1b09027e113d,162,1
0x0120,10;12,916a40a967dd,916a40a967dd,163,1
0x0121,10;12,5f8da3a22404,1e7e67e4bbea,164,1
0x0122,10;12,d6ffd0b84257,2198d30b2d45,165,1
0x0123,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,a254b0fe4118,42ecfa83155e,166,1
0x0124,10;12,3dc4ffeede0c,3dc4ffeede0c,167,1
0x0125,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,9a333fb9da35,9a333fb9da35,168,1
0x0126,10;12,3d9fac33f859,3d9fac33f859,169,1
0x0127,10;12,2df57a3094b4,ab537bf03590,170,1
0x0128,10;12,e60cb44a0e07,e4cff3f6d69b,171,1
0x0129,10;12,e7bb39721a95,2e0cd22df7b7,172,1
0x012A,10;12,b6bf4428cbda,b6bf4428cbda,173,1
0x012B,10;12,db8a58b12339,285bc85f5f95,174,1
0x012C,10;12,2ea06a476c80,82341f02acd4,175,1
0x012D,10;12,f841ba540c71,f841ba540c71,176,1
0x012E,10;12,b19179debfd8,a83530d74ecf,177,1
0x012F,10;12,d2bcef609b05,36fb659f2dab,178,1
0x0130,10;12,4dc3c830d310,4dc3c830d310,179,1
0x0131,10;12,ef8441e14c03,1846e5725493,180,1
0x0132,2;4;6;10;11;12;13;14,b5fd04f6ee81,f46349dfae59,181,1
0x0133,10;12,6fa2bd579c77,53f8e8079ab0,182,1
0x0134,10;12,3d8c3d1467a2,e26dd1675862,183,1
0x0135,10;12,fa8e433d86e8,fa8e433d86e8,184,1
0x0136,10;12,fce6b9083fca,fce6b9083fca,185,1
0x0137,10;12,e5a5339ec959,c116bea15c2f,186,1
0x0138,10;12,1831662650ff,1b36a2f0a0e1,187,1
0x0139,10;12,75ccbecdf05a,75ccbecdf05a,188,1
0x013A,10;12,03a3aab425d5,a84cf1c13800,189,1
0x013B,12,c9a40bf90bdc,8c0c7dd62a50,190,1
0x013C,12,8017060bd85c,e8f974c99962,191,1
0x013D,12,5f799eb4f29b,7abad6984e8f,192,1
0x013E,12,526d3a8468ef,09582807db7e,193,1
0x013F,12,7fab19f54e67,171e0c636bdd,194,1
0x0140,12,d24e9896ca00,8a9baf949787,195,1
0x0141,12,190df198283c,9c53f1e40f67,196,1
0x0142,2;4;6;10;12;13;14,c4511bc7b867,bfd863c84137,197,1
0x0143,12,d211ab28192c,c5c6663bbc5b,198,1
0x0144,2;4;6;10;12;13;14,6a5cf8cfed1f,5f103a6bade1,199,1
0x0145,12,e852ef5c63e2,0e44ce2ea4a2,200,1
0x0146,12,ff509dcb365f,c79507a4cd01,201,1
0x0147,12,8b75a94e0c93,30a084413907,202,1
0x0148,12,aabee48b2ffa,996bde9f9ea4,203,1
0x0149,12,f4163f601c21,d20ec7a9501d,204,1
0x014A,12,568b9f60910a,737c3d6c8dee,205,1
0x014B,12,96632f82b73a,9cb0196f586c,206,1
0x014C,2;4;6;10;11;12;13;14,d61925d01176,d597afa36f63,207,1
0x014D,12,8888c08524c2,dc30e57c0ea3,208,1
0x014E,12,ff2c310cfb25,6ee03139401e,209,1
0x014F,12,77fef4e0f1b5,a8ef9469ccd9,210,1
0x0150,2;4;6;10;11;12;13;14,27906f30a898,e1c90076538f,211,1
0x0151,12,bd073a068d1d,8631befff075,212,1
0x0152,12,f3ff898ba362,c13e9ab36de3,213,1
0x0153,12,efc9937cc71a,4e250f4a9ce4,214,1
0x0154,12,441a455db2af,89e4f174b9b0,215,1
0x0155,2;4;6;10;11;12;13;14,8022da873872,089196e22a98,216,1
0x0156,12,e499d5114842,29972a517ac4,217,1
0x0157,12,757762248b2b,0bcf56cc7f89,218,1
0x0158,12,34809197fbab,d865d75be177,219,1
0x0159,12,1643d09a800e,8d5798cb8a53,220,1
0x015A,12,a63840a98e50,2d6377354940,221,1
0x015B,12,2af48072c9d8,d953b01845af,222,1
0x015C,12,3c665010b113,4187238ddb72,223,1
0x015D,12,3fd6f253fdec,bd7c35ea3383,224,1
0x015E,12,a734d4b3087c,4f50d35ed085,225,1
0x015F,12,359c2dba5bdc,b7f448f2a1ed,226,1
0x0160,12,6737347a7599,cac25ef5c9c5,227,1
0x0161,12,bef13798b53b,da71ef52dc91,228,1
0x0162,12,fc150f1e0858,44d9d8df70ae,229,1
0x0163,12,a5895a029c2b,a5895a029c2b,230,1
0x0164,2;4;6;10;11;12;13;14,f0414d9545fa,8ef6d03546ae,231,1
0x0165,2;4;6;10;11;12;13;14,ad126a7dd94b,e5ff1bcb86c9,232,1
0x0166,2;4;6;10;11;12;13;14,b90ad2649e16,2c85e35559fa,233,1
0x0167,2;4;6;10;11;12;13;14,bbeae7452274,f7f10fac64ec,234,1
0x0168,2;4;6;10;11;12;13;14,7320344916b5,7320344916b5,235,1
0x0169,2;4;6;10;11;12;13;14,0efffb7c581d,a56181048210,236,1
0x016A,2;4;6;10;11;12;13;14,bf825d17a478,bf825d17a478,237,1
0x016B,4;6;13,b23d2cb8a7d0,b23d2cb8a7d0,238,1
0x016C,2;4;6;10;11;12;13;14,73e60c878949,b30edd533a87,239,1
0x016D,4;6;13,c090df8866b2,d62e7d95e7e1,240,1
0x016E,4;13,8a3149094159,06f35ef9d984,241,1
0x016F,4;6;13,f7946eea6cba,f7946eea6cba,242,1
0x0170,2;4;6;10;11;12;13;14,3856b8f72ce3,e2f14ba32eb8,243,1
0x0171,4;6;13,273180fd1daf,273180fd1daf,244,1
0x0172,4;13,1635d0b0009b,1635d0b0009b,245,1
0x0173,4;6;13,edf9faff49ae,aa6c78059e6e,246,1
0x017B,2;4;6;10;11;12;13;14,46674c915e35,4d576595baac,247,1
0x017E,2;4;6;10;11;12;13;14,de363ba22254,de363ba22254,248,1
0x017F,2;4;6;10;11;12;13;14,85b6949fd8c9,85b6949fd8c9,249,1
0x018C,2;4;6;10;11;12;13;14,232ab981926a,232ab981926a,250,1
0x0196,2;4;6;10;11;12;13;14,f44fc621a298,25693d323a0b,251,1
0x019B,4;6,13145fa8b84d,7d7ec5057590,252,1
0x019C,4;6,6640c9598730,485dd2066feb,253,1
0x019D,4;6,04b6434bd21f,04b6434bd21f,254,1
0x019E,4;6,b2ccc1f8b3b2,b2ccc1f8b3b2,255,1
0x019F,4;6,9d9ec536878c,60863023843d,256,1
0x01A0,4;6,e81f1e82f67f,e81f1e82f67f,257,1
0x01A1,4;6,6c36efb9752c,6c36efb9752c,258,1
0x01A2,4;6,161dfd031cbf,92a39fcf53bb,259,1
0x01A3,4;6,31d33b701ea8,106b979c991c,260,1
0x01A4,4;6,4931f2e78cdf,0b4babf15915,261,1
0x01A5,4;6,2fc826cce9c9,7e4c718e898a,262,1
0x01A6,4;6,6c693fce7c70,ef7c2763ee8b,263,1
0x01A7,4;6,a078f25b4af4,663551fe7aa2,264,1
0x01A8,4;6;9;10;11;12,b4cb9e97fb61,b4cb9e97fb61,265,1
0x01A9,4;6;9;10;11;12,f2ff61f577b1,f2ff61f577b1,266,1
0x01AA,4;6;9;10;11;12,bfd892d87fc3,bfd892d87fc3,267,1
0x01AB,4;6;9;10;11;12,0ab351ef4f84,0ab351ef4f84,268,1
0x01AC,4;6;9;10;11;12,1a9a4f509b97,1a9a4f509b97,269,1
0x01AD,4;6;9;10;11;12,3fb491687713,3fb491687713,270,1
0x01AE,4;6;9;10;11;12,eed2718254cb,d8177951fdc0,271,1
0x01AF,2;4;6;10;11;12;14,a1fc10bd9724,a1fc10bd9724,272,1
0x01B0,2;4;6;10;11;12;14,17f0144fe2e0,17f0144fe2e0,273,1
0x01B1,2;4;6;10;11;12;14,0fde238dfec2,0fde238dfec2,274,1
0x01B2,2;4;6;10;11;12;14,8ff32173e14e,8ff32173e14e,275,1
0x01B3,2;4;6;10;11;12;14,63ae1d6762c7,63ae1d6762c7,276,1
0x01B4,2;4;6;10;11;12;14,2bba8492c40c,14102df3fce9,277,1
0x01B5,2;4;6;10;11;12;13;14,ca106e59f9b4,ca106e59f9b4,278,1
0x01B6,2;4;6;10;11;12;14,7ec59dbd5675,7ec59dbd5675,279,1
0x01B7,2;4;6;10;11;12;13;14,c293315871ae,e7e9a1c078fe,280,1
0x01B8,2;4;6;10;11;12;14,72f9a042fe77,72f9a042fe77,281,1
0x01B9,4;10;12,a7b432ea129d,d6153352713b,282,1
0x01BA,4;10;12,366d09d30bc3,d3b387583513,283,1
0x01BB,4;10;12,3d5cfb15d96d,feb8067d7131,284,1
0x01BC,4;10;12,ae1f04e7439b,c10de5c24ff7,285,1
0x01BD,4;10;12,6749f55fae28,929ce6f258dd,286,1
0x01BE,4;10;12,cc5d02b85f16,b884c4fff973,287,1
0x01BF,4;10;12,f606657c1fa3,f606657c1fa3,288,1
0x01C0,4;10;12,5cb79352abb3,b7797c468122,289,1
0x01C1,4;10;12,8b502079ab30,8b502079ab30,290,1
0x01C2,4;10;12,e94b4940c471,e94b4940c471,291,1
0x01C3,4;10;12,6c5a2c7699e5,149618f138f4,292,1
0x01C4,4;10;12,479cee22b9d3,4f5d04f731ac,293,1
0x01C5,4;12,9b6cda95d957,3f5ee015327b,294,1
0x01C6,4;12,bfb45bb67d2a,b782ec05ccd3,295,1
0x01C7,4;12,e3eec2c02ed5,0ee07dca8f79,296,1
0x01C8,4;12,dba3b256cbfc,17a53d536ff5,297,1
0x01C9,4;12,b332156bce48,6226947bed9c,298,1
0x01CA,4;12,a78613d7920e,a5b04ad7a8f1,299,1
0x01CB,4;12,688707348f76,688707348f76,300,1
0x01CC,4;12,4719f6a9010e,4719f6a9010e,301,1
0x01CD,4;12,ea8bae2d3597,3d96277de92d,302,1
0x01CE,4;12,5ac8d4c49d83,631a8434d263,303,1
0x01CF,2;6;14,4fe73f58ff45,4fe73f58ff45,304,1
0x01D0,2;6;14,8f9dca735256,9e09cafe7ed1,305,1
0x01D1,2;6;14,d564b40cd16d,3004a7dfe9da,306,1
0x01D2,2;6;14,547688412aeb,9d6455f90720,307,1
0x01D3,2;6;14,5eb9d0742685,b34d06f28cee,308,1
0x01D4,2;6;14,9c4c779ffe3a,91caa972302d,309,1
0x01D5,2;6;14,2098eab61f30,6752d68480f6,310,1
0x01D6,2;6;14,c8d153e710f4,f0ea5a2b4f10,311,1
0x01D7,2;6;14,1939c9e2e999,1939c9e2e999,312,1
0x01D8,2;6;14,454440c24214,6364c0183056,313,1
0x01D9,2;6;14,68a4455485bc,68a4455485bc,314,1
0x01DA,2;6;14,af9dfcc168be,03fd95ff5a16,315,1
0x01DB,2;6;14,16eed611e4f9,b4fa584bf63a,316,1
0x01DC,2;6;14,e9ebdb30226c,f619417b0636,317,1
0x01DD,2;6;14,7c0fd19907ab,fe71708e0f0f,318,1
0x01DE,6;14,b8a6137b0532,969add04b813,319,1
0x01DF,6;14,509d1e1b3d0a,95883fcfcb6c,320,1
0x01E0,6;14,533b7f0313fe,c2f2931c44d0,321,1
0x01E1,6;14,331ab94d3e88,35e8e6800774,322,1
0x01E2,6;14,dc66296e4470,f994da75be63,323,1
0x01E3,6;14,68c81463bb5a,9acd14ed47c7,324,1
0x01E4,2;4;6;10;11;12;13;14,10fac566e06a,d9a049cb5e72,325,1
0x01E5,2;4;6;10;11;12;13;14,1c2e01337333,1c2e01337333,326,1
0x01E6,2;4;6;10;11;12;14,4d209c068e50,da8b09e264d8,327,1
0x01E7,2;4;6;10;11;12;14,7a69534e7767,b89085ec1b07,328,1
0x01E8,2;4;6;10;11;12;14,ef157137b2ad,4863668d9b82,329,1
0x01E9,2;4;6;10;11;12;14,ccdf712d32fd,e3322a76a8f4,330,1
0x01EA,2;4;6;10;11;12;14,62a028fc08cd,62a028fc08cd,331,1
0x01EB,2;4;6;10;11;12;14,679c581ddcd9,7c117a560289,332,1
0x01EC,2;4;6;10;11;12;14,c2beb6217db8,5557eb877118,333,1
0x01ED,2;4;6;10;11;12;14,fb977f13f621,0cf19c6714c4,334,1
0x01EE,2;4;6;10;11;12;14,2902c1bff843,fe0539a92b90,335,1
0x01EF,2;4;6;10;11;12;14,748f612e2c7f,c24581c2b3da,336,1
0x01F0,2;4;6;10;11;12;14,4887259d09a8,3356552cac9f,337,1
0x01F1,2;4;6;10;11;12;14,9b4512429b14,9b4512429b14,338,1
0x01F2,2;4;6;10;11;12;14,a7f909a232fb,a7f909a232fb,339,1
0x01F3,2;4;6;10;11;12;14,70633dc278f0,c369ad0ca600,340,1
0x01F4,2;4;6;10;11;12;14,fd6f894d405d,fd6f894d405d,341,1
0x01F5,2;4;6;10;11;12;14,d4fab59bed4c,88af13f076f3,342,1
0x01F6,4;6;10;11;12;13,a292e3c43a47,a292e3c43a47,343,1
0x01F7,4;6;10;11;12;13,b65f0eec0039,b65f0eec0039,344,1
0x01F8,4;6;10;11;12;13,3505b41e1094,19ce6e4f58c2,345,1
0x01F9,4;6;10;11;12;13,8f067e4954ee,dcbd100ae812,346,1
0x01FA,4;6;10;11;12;13,3b4a349aa25b,ee042ba609d8,347,1
0x01FB,4;6;10;11;12;13,2d18e982d1d2,148478495d72,348,1
0x01FC,4;6;10;11;12;13,54114fef2303,118af7a227af,349,1
0x01FD,4;6;10;11;12;13,f1b2a2303d2d,588596bc2bca,350,1
0x01FE,4;6;10;11;12;13,63e4e23101bb,bed6c3a9de49,351,1
0x01FF,4;6;10;11;12;13,f6af2e152236,f6af2e152236,352,1
0x0200,4;6;10;11;12;13,36f0a25e63cb,c761e073df2f,353,1
0x0201,4;6;10;11;12;13,d1a052db5513,d1a052db5513,354,1
0x0202,4;6;10;11;12;13,eaa5e39de14c,eaa5e39de14c,355,1
0x0203,4;6;10;11;12;13,18ac63857ba3,0eb3cf917fa9,356,1
0x0204,4;6;10;11;12;13,7060bf2413dc,7060bf2413dc,357,1
0x0205,4;6;10;11;12;13,d14d44706210,72a820b196b9,358,1
0x0206,4;10;12;13,bfd86df0912f,b106f4db2b2a,359,1
0x0207,4;10;12;13,dc00b46a9c28,cd4e8b1910ad,360,1
0x0208,4;10;12;13,1e42db1abb4a,b19b4c6297fa,361,1
0x0209,4;10;12;13,1b87e56ffa48,e36c86a910a9,362,1
0x0219,2;6;14,2e1c630cf5cf,2e1c630cf5cf,363,1
0x021A,2;6;14,bf88469f2cb1,bf88469f2cb1,364,1
0x021B,2;6;14,0b19765f6286,0b19765f6286,365,1
0x021C,2;6;14,7c899262f493,05a3fa67573c,366,1
0x021D,2;6;14,beb8b8c22e7d,beb8b8c22e7d,367,1
0x021E,2;6;14,0a44570f48e7,0a44570f48e7,368,1
0x021F,2;6;14,7907c307d4dd,5ebb628915e0,369,1
0x0220,2;6;14,b62911aa6606,1c4146d80f3b,370,1
0x0221,2;6;14,7c4e1d4304c5,fb286de32b4e,371,1
0x0222,2;14,3a261afa4188,3a261afa4188,372,1
0x0223,2;14,5fceacc6d17f,5fceacc6d17f,373,1
0x0224,2;14,f9833a40e393,f9833a40e393,374,1
0x0225,2;14,4e17c98a1423,4e17c98a1423,375,1
